name,id,parent_id,elevation,latitude,longitude
Unnamed Crag,107825532,107219853.0,"4,476",46.735, -114.568
Lost Horse,105936708,115965598.0,"4,242",46.101, -114.254
The Canal Boulders,113660601,105936708.0,"4,224",46.097, -114.249
Clearcut Boulders,112154747,105936708.0,"4,437",46.1, -114.269
John Wayne Boulder,112154751,112154747.0,"4,418",46.102, -114.271
Midnight Light Bulb,112154828,112154747.0,"4,403",46.099, -114.267
Field Boulders / The Jumble,113660573,105936708.0,"4,254",46.098, -114.256
Girl's Best Friend Boulder,113619100,105936708.0,"4,322",46.115, -114.239
Main Wall,107111585,105936708.0,,46.101, -114.254
Mother Lode Boulders,112153743,105936708.0,"4,253",46.097, -114.255
The House and Shed Boulders,112154707,112153743.0,"4,267",46.095, -114.255
The Main Area,113830361,112153743.0,"4,253",46.097, -114.255
Bolted Boulder,113830369,113830361.0,"4,253",46.097, -114.255
The Parrot Boulder,119927546,112153743.0,"4,242",46.097, -114.255
Super Rad Boulder,113912260,112153743.0,"4,253",46.097, -114.255
Roadside Boulders,112153581,105936708.0,"4,222",46.102, -114.251
Hardvark Boulder,112153640,112153581.0,"4,232",46.1, -114.251
Hillside Boulders,112153668,112153581.0,"4,333",46.103, -114.253
The Mexican Hat Boulder,112153614,112153581.0,"4,218",46.101, -114.249
Pullout Boulders,112153645,112153581.0,"4,239",46.102, -114.251
The Classic Hangover,119078576,112153645.0,"4,240",46.102, -114.251
Egyptian Magician (aka Many Faces),119078656,112153645.0,"4,239",46.102, -114.251
Face of Wisdom,119078679,112153645.0,"4,241",46.102, -114.251
The Gladiator,119078600,112153645.0,"4,241",46.102, -114.251
Stunted Wave,119078710,112153645.0,"4,241",46.102, -114.251
Tanganika,112153635,112153581.0,"4,245",46.101, -114.252
Upper Roadside Boulders,112153657,112153581.0,"4,277",46.102, -114.256
Baboon Boulder,112164005,112153657.0,"4,282",46.102, -114.255
Flake N' Bake Boulder,112164014,112153657.0,"4,289",46.102, -114.256
The Zit Boulder,112153622,112153581.0,"4,194",46.102, -114.248
South Fork Boulders,113619084,105936708.0,"4,504",46.108, -114.279
Starlight Lounge,107111580,105936708.0,,46.101, -114.254
Swamp Boulders,113619072,105936708.0,"4,373",46.104, -114.282
Lost Wall,106807348,115965598.0,"3,366",48.345, -114.494
Memorial Falls,110963277,115965598.0,"5,661",46.913, -110.698
Prospector Crag,110966390,110963277.0,"6,800",46.916, -110.705
Upper Falls,111007204,110963277.0,"6,800",46.915, -110.693
Warmup boulders,113389920,110963277.0,"6,221",46.915, -110.693
Mill Creek,111620787,115965598.0,"5,146",46.31, -114.24
The Great Awakening Wall,111621064,111620787.0,"5,329",46.311, -114.25
Lower Tier,111622254,111620787.0,"4,425",46.308, -114.246
The Stranger than Friction Wall,111622277,111622254.0,"4,937",46.309, -114.245
Mill Creek Guide Link,113748012,111620787.0,"5,536",46.311, -114.249
Mill Creek Wilderness Boundary,118608048,111620787.0,"5,085",46.31, -114.24
Upper Tier,111622727,111620787.0,"4,952",46.31, -114.242
Eagle's Head Buttress,111622745,111622727.0,"4,830",46.309, -114.245
The White Wall,111623165,111622727.0,"4,917",46.31, -114.248
Mill Creek North Rim,107233209,115965598.0,"5,036",46.31, -114.239
Big Science,107233228,107233209.0,,46.31, -114.239
Cracktrilogy,107412290,107233209.0,,46.31, -114.239
First Girlfriend Buttress,107412301,107233209.0,,46.31, -114.239
Little Heroes,107412284,107233209.0,,46.31, -114.239
Lower Tier,107233224,107233209.0,,46.31, -114.239
No Sweat,107756982,107233209.0,,46.31, -114.25
Pirate Cove,107628472,107233209.0,,46.31, -114.239
Tick Farm,107233214,107233209.0,,46.31, -114.239
Tiger Stripe,107233218,107233209.0,,46.31, -114.239
Upper Tier,107233221,107233209.0,,46.31, -114.239
Mission Mountains,114508204,115965598.0,"6,855",47.347, -113.895
Mission Falls Ice,114548953,114508204.0,"4,625",47.335, -113.942
Sheepshead (AKA West Macdonald),114778209,114508204.0,"9,273",47.385, -113.936
Monarch Area/Camp Rotary,111007372,115965598.0,"5,055",47.043, -110.789
Monarch Canyon,112059060,115965598.0,"5,000",47.132, -110.825
Muddy Creek,116500788,115965598.0,"5,565",47.991, -112.707
South Side of Creek,116500813,116500788.0,"5,458",47.99, -112.705
South Wall in Slot Canyon,116532744,116500788.0,"5,404",47.99, -112.708
Mulkey Gulch,105968482,115965598.0,"4,400",46.748, -113.278
Bottleneck,112867573,105968482.0,"4,455",46.748, -113.278
Mulkey Man,112867581,105968482.0,"4,491",46.748, -113.278
Mulkey Tower,112867561,105968482.0,"4,465",46.748, -113.278
Mulkey Way,112867568,105968482.0,"4,442",46.748, -113.278
Scattered Routes,112867601,105968482.0,"4,617",46.749, -113.277
Skidmark,112867578,105968482.0,"4,438",46.748, -113.278
North Fork Teton River Canyon,112857477,115965598.0,"5,091",47.885, -112.718
Tears of a Clown,112857483,112857477.0,"5,106",47.884, -112.717
Ojibway Peak,110948286,115965598.0,"7,300",48.065, -115.621
Point of Rocks,118838463,115965598.0,"3,542",48.641, -114.695
Endless Summer Wall,118838587,118838463.0,"3,688",48.644, -114.7
Mouse House,118875893,118838463.0,"3,421",48.642, -114.691
October Wall,118838536,118838463.0,"3,573",48.645, -114.702
The Quarry,112020735,118838463.0,"3,430",48.636, -114.689
Rat Castle,119195578,118838463.0,"3,469",48.641, -114.691
South Point of Rocks,119204876,118838463.0,"3,296",48.658, -114.763
Excuses Walls,119207300,119204876.0,"3,358",48.657, -114.76
Railroad Rocks,119204953,119204876.0,"3,359",48.658, -114.761
Stillwater Canyon / Mt. Marston Rd.,107237963,118838463.0,"3,432",48.682, -114.76
Drive-In Theatre,111985288,107237963.0,"3,349",48.67, -114.756
Stillwater Canyon,119658759,107237963.0,"3,432",48.682, -114.76
River Wall,119658804,119658759.0,"3,432",48.682, -114.76
Sunset Boulders,118838518,118838463.0,"3,528",48.644, -114.702
Practice Rock,119121148,115965598.0,"4,541",46.733, -114.573
Random Events Wall,118892795,115965598.0,"4,840",46.741, -114.604
Rattler Gulch,107111254,115965598.0,"4,257",46.727, -113.231
Choss Wall,107111327,107111254.0,,46.727, -113.231
Divers Wall,107111266,107111254.0,,46.726, -113.232
Grom Wall,118910043,107111254.0,"4,477",46.728, -113.232
Rock In Between,107111315,107111254.0,,46.727, -113.232
Shredder Wall,107111277,107111254.0,,46.727, -113.231
Sidewinder Buttress,107111290,107111254.0,,46.728, -113.232
Style Wall,107139535,107111254.0,"4,375",46.73, -113.229
Toad Rib,107111353,107111254.0,,46.727, -113.231
The Tombstone,107111343,107111254.0,,46.727, -113.231
Roadside Rock,110383777,115965598.0,"4,453",46.732, -114.571
Roaring Lion Canyon,108005068,115965598.0,"3,000",46.181, -114.259
Sluice Boxes State Park,111862097,115965598.0,"4,200",47.209, -110.93
Sprinkles Rock,119066980,115965598.0,"4,236",46.708, -114.537
Stone Hill,105942120,115965598.0,"2,909",48.793, -115.3
Canadian Roadcut,113694408,105942120.0,"2,824",48.838, -115.264
The Carwash,119048781,105942120.0,"2,767",48.828, -115.276
Dihedral Wall,118997911,105942120.0,"2,994",48.748, -115.314
Enchanted Neighborhood,119085097,105942120.0,"2,844",48.825, -115.281
Firecrack Wall,110470501,105942120.0,,48.793, -115.3
Hold Up Bluffs North,106080002,105942120.0,"2,905",48.793, -115.3
Hold Up Bluffs South,106135951,105942120.0,,48.793, -115.3
Lakeside Walls,106159850,105942120.0,"2,667",48.791, -115.3
Lizard Slabs,117064547,105942120.0,"2,839",48.788, -115.298
Loners Wall,117347213,105942120.0,"2,893",48.838, -115.265
Mario Land Boulders,118931535,105942120.0,"2,740",48.827, -115.276
Bowser's Castle,118989512,118931535.0,"2,760",48.828, -115.276
Mario Cart,118988950,118931535.0,"2,737",48.827, -115.276
Mushroom Kingdom,118935199,118931535.0,"2,750",48.827, -115.276
Toadstool,118935249,118931535.0,"2,752",48.827, -115.276
YGA Boulder,119293720,118931535.0,"2,755",48.827, -115.276
Yoshi's Island,118935033,118931535.0,"2,750",48.827, -115.276
Mikey's Mussel Beach,114484382,105942120.0,"2,768",48.793, -115.301
North of Northwest Wall,118604676,105942120.0,"3,012",48.843, -115.26
Playland,119531180,105942120.0,"2,940",48.733, -115.303
Room with a View,106079978,105942120.0,,48.793, -115.3
Route 37 (The Road Cuts),106175599,105942120.0,"2,905",48.793, -115.3
Science Lab,115402595,105942120.0,"2,672",48.747, -115.313
South Stone-Bikini Area,117826059,105942120.0,"2,629",48.775, -115.298
Sutton Creek,118993727,105942120.0,"2,632",48.761, -115.288
Tip Toe Area,106079963,105942120.0,,48.793, -115.3
Sun River Canyon,111924393,115965598.0,"4,500",47.62, -112.722
Castle Reef Boulders,111924403,111924393.0,"4,500",47.622, -112.719
Sweathouse Creek Boulders,112160154,115965598.0,"4,649",46.422, -114.249
Sweathouse Creek Crags,112892324,115965598.0,"6,000",46.423, -114.247
Lower Crags,112892354,112892324.0,"4,680",46.423, -114.247
Sweathouse Buttress,112892552,112892324.0,"5,032",46.423, -114.249
Testament Slabs,111971383,115965598.0,"4,316",48.67, -115.567
That Rock,106420239,115965598.0,"5,030",46.743, -114.609
Tor Rock,106421766,115965598.0,"4,362",46.725, -114.579
Trapper Creek,109433168,115965598.0,"4,609",45.923, -114.226
